symbol,date,source,eps_estimate,reported_eps
ITC.NS,2024-10-24,yahoo_earnings_dates,4.94,3.99
ITC.NS,2025-02-06,yahoo_earnings_dates,4.56,3.95
ITC.NS,2025-05-22,yahoo_earnings_dates,3.89,3.66
KOTAKBANK.NS,2023-10-21,yahoo_earnings_dates,26.37,22.45
KOTAKBANK.NS,2024-01-20,yahoo_earnings_dates,25.11,21.46
KOTAKBANK.NS,2024-05-04,yahoo_earnings_dates,26.37,26.65
KOTAKBANK.NS,2024-07-20,yahoo_earnings_dates,15.28,18.33
KOTAKBANK.NS,2024-08-16,yahoo_earnings_dates,,
KOTAKBANK.NS,2024-10-19,yahoo_earnings_dates,32.89,25.37
KOTAKBANK.NS,2025-01-18,yahoo_earnings_dates,31.31,23.64
KOTAKBANK.NS,2025-05-03,yahoo_earnings_dates,32.88,24.81
M&M.NS,2023-11-10,yahoo_earnings_dates,19.1,20.99
M&M.NS,2024-02-14,yahoo_earnings_dates,20.21,23.76
M&M.NS,2024-05-16,yahoo_earnings_dates,9.5,24.61
M&M.NS,2024-07-31,yahoo_earnings_dates,22.51,29.32
M&M.NS,2024-08-02,yahoo_earnings_dates,24.1,
M&M.NS,2024-11-07,yahoo_earnings_dates,22.11,28.31
M&M.NS,2025-02-07,yahoo_earnings_dates,,
M&M.NS,2025-05-05,yahoo_earnings_dates,29.76,29.04
MARUTI.NS,2023-10-27,yahoo_earnings_dates,104.51,124.61
MARUTI.NS,2024-01-31,yahoo_earnings_dates,100.59,102.0
MARUTI.NS,2024-04-26,yahoo_earnings_dates,123.71,125.71
MARUTI.NS,2024-07-31,yahoo_earnings_dates,104.35,119.58
MARUTI.NS,2024-08-28,yahoo_earnings_dates,120.8,
MARUTI.NS,2024-10-29,yahoo_earnings_dates,129.66,98.68
MARUTI.NS,2025-01-29,yahoo_earnings_dates,115.64,118.54
MARUTI.NS,2025-04-25,yahoo_earnings_dates,125.78,124.4
NESTLEIND.NS,2023-10-19,yahoo_earnings_dates,84.65,83.14
NESTLEIND.NS,2024-02-07,yahoo_earnings_dates,7.5,7.91
NESTLEIND.NS,2024-04-11,yahoo_earnings_dates,,
NESTLEIND.NS,2024-04-25,yahoo_earnings_dates,8.76,9.59
NESTLEIND.NS,2024-07-25,yahoo_earnings_dates,8.37,7.74
NESTLEIND.NS,2024-10-17,yahoo_earnings_dates,8.95,7.21
NESTLEIND.NS,2025-01-31,yahoo_earnings_dates,8.16,7.14
NESTLEIND.NS,2025-04-24,yahoo_earnings_dates,8.07,9.06
ONGC.NS,2024-02-10,yahoo_earnings_dates,9.26,8.23
ONGC.NS,2024-05-21,yahoo_earnings_dates,11.82,9.41
ONGC.NS,2024-08-05,yahoo_earnings_dates,7.88,7.9
ONGC.NS,2024-08-28,yahoo_earnings_dates,8.36,
ONGC.NS,2024-11-11,yahoo_earnings_dates,8.35,8.17
ONGC.NS,2025-01-31,yahoo_earnings_dates,8.31,6.85
ONGC.NS,2025-05-21,yahoo_earnings_dates,8.4,5.94
ONGC.NS,2025-05-22,yahoo_earnings_dates,,
RELIANCE.NS,2023-10-27,yahoo_earnings_dates,27.25,25.71
RELIANCE.NS,2024-01-19,yahoo_earnings_dates,27.2,25.52
RELIANCE.NS,2024-04-22,yahoo_earnings_dates,32.13,28.01
RELIANCE.NS,2024-07-19,yahoo_earnings_dates,23.77,22.37
RELIANCE.NS,2024-08-27,yahoo_earnings_dates,,
RELIANCE.NS,2024-10-14,yahoo_earnings_dates,13.17,12.24
RELIANCE.NS,2025-01-16,yahoo_earnings_dates,16.94,13.7
