symbol,date,open,high,low,close,volume
NIFTYENERGY,2025-02-01,34028.05,34238.1,32874.75,33172.6,479365795
NIFTYENERGY,2025-02-03,32882.05,32917.6,31884.15,32177.4,438493934
NIFTYENERGY,2025-02-04,32479.85,32923.0,32393.2,32896.7,367309321
NIFTYENERGY,2025-02-05,33115.15,33492.4,33097.7,33345.45,301191393
NIFTYENERGY,2025-02-06,33492.4,33571.9,32893.05,33059.75,280819103
NIFTYENERGY,2025-02-07,32978.75,33141.05,32613.9,32817.3,219131906
NIFTYENERGY,2025-02-10,32778.45,32834.25,32023.25,32109.9,231736187
NIFTYENERGY,2025-02-11,32156.65,32157.75,31217.7,31436.75,277279999
NIFTYENERGY,2025-02-12,31369.45,31411.9,30485.8,31317.3,351855123
NIFTYENERGY,2025-02-13,31378.0,31734.15,31213.55,31286.8,233930970
NIFTYENERGY,2025-02-14,31389.1,31466.4,30265.55,30572.3,262388162
NIFTYENERGY,2025-02-17,30401.35,30785.05,29892.35,30737.55,263909866
NIFTYENERGY,2025-02-18,30763.25,30909.2,30300.5,30849.05,250773199
NIFTYENERGY,2025-02-19,30620.2,31279.5,30487.35,31198.5,284182742
NIFTYENERGY,2025-02-20,31072.75,31816.95,30992.05,31769.65,304461982
NIFTYENERGY,2025-02-21,31721.65,32022.7,31441.5,31592.0,302434287
NIFTYENERGY,2025-02-24,31251.95,31405.8,31049.05,31240.8,214758958
NIFTYENERGY,2025-02-25,31222.8,31369.85,30921.9,31018.3,237248461
NIFTYENERGY,2025-02-27,31017.2,31095.85,30478.05,30659.25,259229003
NIFTYENERGY,2025-02-28,30511.5,30540.4,29863.25,30018.15,487594358
NIFTYENERGY,2025-03-03,30091.9,30219.8,29313.2,30007.05,401275882
NIFTYENERGY,2025-03-04,29623.3,30334.25,29406.6,30239.15,304186165
NIFTYENERGY,2025-03-05,30248.35,31126.35,30246.75,31099.45,339147388
NIFTYENERGY,2025-03-06,31431.8,31782.55,31249.9,31729.85,394527934
NIFTYENERGY,2025-03-07,31723.35,32075.6,31599.0,31788.45,408873005
NIFTYENERGY,2025-03-10,31788.45,32154.15,31214.0,31302.2,355841776
NIFTYENERGY,2025-03-11,31023.9,31528.9,30847.8,31462.65,268799507
NIFTYENERGY,2025-03-12,31638.1,31827.45,31158.35,31535.3,322661183
NIFTYENERGY,2025-03-13,31738.8,31889.5,31448.1,31483.0,247386403
NIFTYENERGY,2025-03-17,31560.6,31827.35,31503.6,31660.15,243557754
NIFTYENERGY,2025-03-18,31857.85,32195.3,31727.1,32165.5,259610579
NIFTYENERGY,2025-03-19,32277.45,32786.25,32216.1,32735.05,379842427
NIFTYENERGY,2025-03-20,33013.15,33042.95,32580.35,33001.05,292830964
NIFTYENERGY,2025-03-21,33047.0,33722.95,33011.05,33475.05,560733086
NIFTYENERGY,2025-03-24,33849.25,34149.1,33760.2,33955.0,340807051
NIFTYENERGY,2025-03-25,34123.8,34144.35,33418.95,33502.4,312430752
NIFTYENERGY,2025-03-26,33600.05,33791.55,33165.3,33205.4,323143567
