symbol,date,ensemble_score_mean,ensemble_score_std,ensemble_score_count,confidence_mean,relevance_score_mean,sentiment_lag1,sentiment_lag2
BHEL.NS,2025-05-26,0.3633,0.3106,3,0.3633,0.7,0.2728,0.4527
BHEL.NS,2025-05-27,0.5848,0.0962,7,0.5848,0.7714,0.3633,0.2728
BHEL.NS,2025-05-28,0.518,,1,0.518,0.7,0.5848,0.3633
BHEL.NS,2025-05-29,0.6421,,1,0.6421,0.7,0.518,0.5848
BHEL.NS,2025-06-01,0.5311,0.0986,2,0.5311,0.825,0.6421,0.518
BHEL.NS,2025-06-02,0.4546,0.274,6,0.4616,0.6,0.5311,0.6421
BHEL.NS,2025-06-03,0.3239,0.3282,4,0.3965,0.625,0.4546,0.5311
BHEL.NS,2025-06-05,-0.0395,,1,0.0395,0.7,0.3239,0.4546
BHEL.NS,2025-06-06,0.4279,,1,0.4279,0.4,-0.0395,0.3239
BHEL.NS,2025-06-09,0.5117,0.1107,2,0.5117,0.55,0.4279,-0.0395
BHEL.NS,2025-06-10,0.3505,0.3081,6,0.4186,0.7917,0.5117,0.4279
BHEL.NS,2025-06-12,0.7194,,1,0.7194,0.7,0.3505,0.5117
BHEL.NS,2025-06-13,0.1465,0.1679,2,0.1465,0.7,0.7194,0.3505
BHEL.NS,2025-06-16,0.4004,0.1373,4,0.4004,0.7625,0.1465,0.7194
BHEL.NS,2025-06-17,0.653,,1,0.653,0.4,0.4004,0.1465
BHEL.NS,2025-06-18,0.2405,0.3443,3,0.2922,0.7,0.653,0.4004
BHEL.NS,2025-06-19,0.0172,0.3155,4,0.2658,0.775,0.2405,0.653
BHEL.NS,2025-06-20,0.1547,0.3549,9,0.2936,0.6278,0.0172,0.2405
BHEL.NS,2025-06-22,0.4029,0.367,2,0.4029,0.7,0.1547,0.0172
BHEL.NS,2025-06-23,0.5242,0.1337,2,0.5242,0.55,0.4029,0.1547
BHEL.NS,2025-06-24,0.2915,0.4069,4,0.4449,0.7,0.5242,0.4029
BHEL.NS,2025-06-25,0.2557,0.3796,7,0.3938,0.7714,0.2915,0.5242
BHEL.NS,2025-06-26,0.2387,0.3805,4,0.3175,0.625,0.2557,0.2915
BHEL.NS,2025-06-27,0.1766,0.4541,6,0.3942,0.7333,0.2387,0.2557
BHEL.NS,2025-06-28,0.2192,0.2433,6,0.2924,0.6917,0.1766,0.2387
BHEL.NS,2025-06-29,0.6591,,1,0.6591,0.95,0.2192,0.1766
BHEL.NS,2025-06-30,0.2064,0.5243,2,0.3707,1.0,0.6591,0.2192
BHEL.NS,2025-07-02,0.4531,,1,0.4531,0.7,0.2064,0.6591
BHEL.NS,2025-07-08,-0.0581,,1,0.0581,0.7,0.4531,0.2064
BHEL.NS,2025-07-09,0.0748,0.5395,2,0.3815,1.0,-0.0581,0.4531
BHEL.NS,2025-07-12,0.4614,,1,0.4614,0.7,0.0748,-0.0581
BHEL.NS,2025-07-14,0.4138,,1,0.4138,0.95,0.4614,0.0748
BHEL.NS,2025-07-21,0.3981,,1,0.3981,0.7,0.4138,0.4614
BHEL.NS,2025-07-23,0.0762,0.4718,2,0.3336,0.7,0.3981,0.4138
BHEL.NS,2025-07-24,0.0371,,1,0.0371,0.4,0.0762,0.3981
BHEL.NS,2025-07-28,0.4329,,1,0.4329,1.0,0.0371,0.0762
BHEL.NS,2025-07-29,0.4314,,1,0.4314,1.0,0.4329,0.0371
BHEL.NS,2025-07-30,0.4169,,1,0.4169,0.7,0.4314,0.4329
BHEL.NS,2025-08-02,0.4499,,1,0.4499,1.0,0.4169,0.4314
BHEL.NS,2025-08-05,0.057,0.4951,2,0.3501,1.0,0.4499,0.4169
BHEL.NS,2025-08-06,0.1284,0.3574,3,0.2971,1.0,0.057,0.4499
BHEL.NS,2025-08-07,0.198,0.3801,7,0.3421,1.0,0.1284,0.057
BHEL.NS,2025-08-08,0.2592,0.2679,2,0.2592,1.0,0.198,0.1284
BHEL.NS,2025-08-11,0.4572,,1,0.4572,1.0,0.2592,0.198
BHEL.NS,2025-08-13,0.4523,,1,0.4523,1.0,0.4572,0.2592
BPCL.NS,2025-02-03,-0.2756,0.151,3,0.2756,1.0,,
BPCL.NS,2025-02-05,0.2014,0.4244,3,0.2936,1.0,-0.2756,
BPCL.NS,2025-02-12,-0.0933,,1,0.0933,1.0,0.2014,-0.2756
BPCL.NS,2025-02-18,0.4543,,1,0.4543,1.0,-0.0933,0.2014
BPCL.NS,2025-02-21,0.6974,,1,0.6974,1.0,0.4543,-0.0933
BPCL.NS,2025-02-28,0.166,,1,0.166,1.0,0.6974,0.4543
BPCL.NS,2025-03-05,-0.4453,,1,0.4453,1.0,0.166,0.6974
BPCL.NS,2025-03-19,0.7684,,1,0.7684,1.0,-0.4453,0.166
BPCL.NS,2025-04-07,-0.7654,,1,0.7654,1.0,0.7684,-0.4453
BPCL.NS,2025-04-08,-0.3325,,1,0.3325,1.0,-0.7654,0.7684
BPCL.NS,2025-04-24,0.555,,1,0.555,1.0,-0.3325,-0.7654
BPCL.NS,2025-04-30,0.4551,,1,0.4551,1.0,0.555,-0.3325
BPCL.NS,2025-05-02,-0.011,,1,0.011,1.0,0.4551,0.555
BPCL.NS,2025-05-05,-0.0434,0.1096,3,0.0706,1.0,-0.011,0.4551
BPCL.NS,2025-05-09,0.4439,,1,0.4439,1.0,-0.0434,-0.011
BPCL.NS,2025-06-03,-0.0214,,1,0.0214,1.0,0.4439,-0.0434
BPCL.NS,2025-06-11,-0.2638,,1,0.2638,1.0,-0.0214,0.4439
BPCL.NS,2025-06-12,0.4533,,1,0.4533,1.0,-0.2638,-0.0214
BPCL.NS,2025-06-13,-0.2722,0.0475,2,0.2722,1.0,0.4533,-0.2638
BPCL.NS,2025-06-16,-0.3138,0.3255,3,0.3536,1.0,-0.2722,0.4533
BPCL.NS,2025-06-17,-0.6287,,1,0.6287,1.0,-0.3138,-0.2722
BPCL.NS,2025-06-19,-0.5408,,1,0.5408,1.0,-0.6287,-0.3138
BPCL.NS,2025-06-23,-0.5023,,1,0.5023,1.0,-0.5408,-0.6287
BPCL.NS,2025-06-25,0.4165,,1,0.4165,1.0,-0.5023,-0.5408
BPCL.NS,2025-06-26,-0.843,,1,0.843,1.0,0.4165,-0.5023
BPCL.NS,2025-06-28,-0.2215,,1,0.2215,1.0,-0.843,0.4165
BPCL.NS,2025-07-07,-0.3744,,1,0.3744,1.0,-0.2215,-0.843
BPCL.NS,2025-07-08,0.3749,,1,0.3749,1.0,-0.3744,-0.2215
BPCL.NS,2025-07-25,0.3457,,1,0.3457,1.0,0.3749,-0.3744
BPCL.NS,2025-07-26,0.453,,1,0.453,1.0,0.3457,0.3749
BPCL.NS,2025-07-27,0.4572,,1,0.4572,1.0,0.453,0.3457
BPCL.NS,2025-07-28,0.5311,0.1149,2,0.5311,1.0,0.4572,0.453
BPCL.NS,2025-08-01,0.2014,,1,0.2014,1.0,0.5311,0.4572
BPCL.NS,2025-08-05,0.4441,,1,0.4441,1.0,0.2014,0.5311
BPCL.NS,2025-08-06,0.4314,,1,0.4314,1.0,0.4441,0.2014
BPCL.NS,2025-08-11,0.5261,0.0885,3,0.5261,1.0,0.4314,0.4441
BPCL.NS,2025-08-12,0.4308,0.0336,2,0.4308,1.0,0.5261,0.4314
BPCL.NS,2025-08-13,-0.0788,0.3437,12,0.2869,0.8083,0.4308,0.5261
BPCL.NS,2025-08-14,0.0909,0.3433,36,0.3023,0.7111,-0.0788,0.4308
BPCL.NS,2025-08-15,0.3062,0.2858,37,0.3792,0.6432,0.0909,-0.0788
BPCL.NS,2025-08-16,0.2746,0.191,19,0.3056,0.6526,0.3062,0.0909
COCHINSHIP.NS,2025-02-03,0.6177,,1,0.6177,0.7,,
COCHINSHIP.NS,2025-02-04,-0.1902,,1,0.1902,0.7,0.6177,
COCHINSHIP.NS,2025-02-06,-0.2055,,1,0.2055,0.7,-0.1902,0.6177
COCHINSHIP.NS,2025-02-07,0.17,,1,0.17,0.7,-0.2055,-0.1902
COCHINSHIP.NS,2025-02-10,-0.2458,,1,0.2458,0.7,0.17,-0.2055
COCHINSHIP.NS,2025-02-11,0.1438,,1,0.1438,0.7,-0.2458,0.17
COCHINSHIP.NS,2025-02-12,0.1717,,1,0.1717,0.7,0.1438,-0.2458
COCHINSHIP.NS,2025-02-17,0.0498,,1,0.0498,0.7,0.1717,0.1438
COCHINSHIP.NS,2025-03-29,-0.0671,,1,0.0671,0.7,0.0498,0.1717
COCHINSHIP.NS,2025-04-08,0.5932,,1,0.5932,0.7,-0.0671,0.0498
COCHINSHIP.NS,2025-04-24,-0.1573,,1,0.1573,0.7,0.5932,-0.0671
COCHINSHIP.NS,2025-04-29,-0.4134,,1,0.4134,0.4,-0.1573,0.5932
COCHINSHIP.NS,2025-05-08,-0.2492,,1,0.2492,0.7,-0.4134,-0.1573
