sector,mean_ret,std_ret,skew,kurtosis,n
NIFTY50,0.00047075898626859825,0.00862622296865878,0.45247906784057645,3.376635953052983,133
NIFTYBANK,0.0009291561886970704,0.008748002502225122,0.53592100909312,2.3866414190585687,133
NIFTYIT,-0.0013587673291634594,0.013878338224642765,0.5785845792059889,4.881667573855676,133
NIFTYAUTO,0.0006437740276647148,0.012517772735403025,0.01747067185369824,1.6539672709764637,133
NIFTYDEFENSE,0.0019402209315567645,0.019871725264976336,0.2016413252184677,0.1443838558319377,133
NIFTYENERGY,0.0003627543020652836,0.011991345664373789,-0.043983926935447545,1.3276104479734516,133
NIFTYFMCG,-0.0003727561633832476,0.008540587379359513,0.2097091352139814,0.5633769572752167,133
