,NIFTY50,NIFTYBANK,NIFTYIT,NIFTYAUTO,NIFTYDEFENSE,NIFTYENERGY,NIFTYFMCG
NIFTY50,1.0,0.8796078089407395,0.7235960559324217,0.8008491552074203,0.45164460106875237,0.7957125895716423,0.6112221741289242
NIFTYBANK,0.8796078089407395,1.0,0.4845786499541146,0.6308169516717962,0.4465827469550906,0.7198530003892464,0.47470910421204937
NIFTYIT,0.7235960559324217,0.4845786499541146,1.0,0.5963126790205102,0.2304829544066524,0.5512156812082842,0.3806820252076317
NIFTYAUTO,0.8008491552074203,0.6308169516717962,0.5963126790205102,1.0,0.47011800765384787,0.700858496236123,0.5540875747539115
NIFTYDEFENSE,0.45164460106875237,0.4465827469550906,0.2304829544066524,0.47011800765384787,1.0,0.6158700488239215,0.26649116139034906
NIFTYENERGY,0.7957125895716423,0.7198530003892464,0.5512156812082842,0.700858496236123,0.6158700488239215,1.0,0.4859204453658049
NIFTYFMCG,0.6112221741289242,0.47470910421204937,0.3806820252076317,0.5540875747539115,0.26649116139034906,0.4859204453658049,1.0
