date,open,high,low,close,volume,dividends,stock splits,returns_1d,returns_2d,returns_3d,volatility,symbol,returns_5d,returns_10d,log_returns,RSI,MACD,MACD_Signal,MACD_Histogram,BB_Upper,BB_Middle,BB_Lower,BB_PercentB,BB_Width,SMA_5,SMA_10,SMA_20,SMA_50,EMA_12,EMA_26,EMA_50,Price_vs_SMA20,Price_vs_SMA50,Price_vs_EMA12,ATR,ROC_5,ROC_10,ROC_20,PRICE_POSITION_14,OBV,VOLUME_SMA_20,VOLUME_RATIO,VOLATILITY_5,VOLATILITY_10,VOLATILITY_20,WILLIAMS_R,SMA5_above_SMA20,SMA10_above_SMA20,Price_above_SMA20,RSI_Oversold,RSI_Overbought,MACD_Signal_Cross,Near_High_20,Near_Low_20,forward_return_1d,target_1d,forward_return_2d,target_2d,forward_return_3d,target_3d,ensemble_score_mean,ensemble_score_std,ensemble_score_count,confidence_mean,relevance_score_mean,sentiment_lag1,sentiment_lag2,sector
2025-05-22,382.1135357,385.8548562,378.1227938,382.5126038,43486783,0.0,0,0.0010443175695773466,0.053875731,0.05402054,0.025374588,BEL.NS,0.09417806483529323,0.24825004430595055,0.001043772649331143,90.65843725421537,20.96436614212047,15.336346080026372,5.628020062094096,385.45310521410295,330.26382599500005,275.07454677589715,0.9733598494516565,0.33421328571381853,370.70999758,351.88367005,330.26382599500005,304.71132324399997,351.19299874942357,330.2286326073031,314.06172286243395,0.1582031506102366,0.25532782873874393,0.08918060770602954,12.143259749999995,0.09417806483529323,0.24825004430595055,0.2535555671520464,1.0,373216964.0,38597734.95,1.1266667087157662,0.02537458805177352,0.018371029604629475,0.021774839972528725,-0.0,1,1,1,0,1,1,1,0,0.0010433075826401517,1,0.0029994797259018657,1,0.005216538697488948,1,0.0914,,1,0.0914,1.0,,,Defense
2025-05-23,388.2493056,388.9975698,380.2179496,382.9116821,37666187,0.0,0,0.0010433075826401517,0.002088715,0.054975248,0.023407848,BEL.NS,0.05468535896874083,0.21513375500425092,0.0010427637155317362,90.24679551724502,21.928570707552637,16.654791094394643,5.273779613157995,392.7348009758317,334.15978699,275.58477300416826,0.9161492400308453,0.3505808673955412,374.68078613999995,358.66294251,334.15978699,306.953190308,356.07281706431,334.1442463567574,316.90921709451226,0.1458939615360091,0.24745952865250387,0.075374653018915,12.360612357142852,0.05468535896874083,0.21513375500425092,0.25547916606838705,1.0,410883151.0,39618968.45,0.9507109466400051,0.02340784814742283,0.0194174119160016,0.021732732118811625,-0.0,1,1,1,0,1,1,1,0,0.0019541333810875194,1,0.00416888168897156,1,0.017326824722645462,1,0.4511,,1,0.4511,1.0,0.0914,,Defense
2025-05-26,384.0091386,384.9070495,377.6239576,383.6599426,26722908,0.0,0,0.0019541333810875194,0.00299948,0.00404693,0.023143948,BEL.NS,0.057182053353695306,0.19129495353235448,0.001952226546187692,95.68169646602152,22.493475233779975,17.822527985235958,4.670947248544017,398.2932702263984,338.49722443,278.7011786336016,0.8776396713904469,0.3533030198229233,378.83115233999996,364.82365113000003,338.49722443,309.129853516,360.3170055873049,337.8235303535249,319.6639897984638,0.13342123630718117,0.24109638146010526,0.06478444439403264,12.161076135714284,0.057182053353695306,0.19129495353235448,0.2921706914776483,1.0,437606059.0,39939763.65,0.6690802738388263,0.023143948188602978,0.020189195200445143,0.019962604399100265,-0.0,1,1,1,0,1,1,1,0,0.0022104288351108003,1,0.015342709640493002,1,0.0058509665741683925,1,-0.1536,,1,0.1536,1.0,0.4511,0.0914,Defense
2025-05-27,383.6100847,387.9001203,382.5625271,384.5079956,16859142,0.0,0,0.0022104288351108003,0.004168882,0.005216539,0.022909327,BEL.NS,0.0593733149504192,0.1478779183057759,0.0022079894313840986,96.37368877258795,22.747071470841604,18.807436724842027,3.9396347459995766,403.3990770387121,342.505427555,281.61177807128786,0.844884634121288,0.35557771985341013,383.141156,369.77716065,342.505427555,311.415950318,364.0387077581229,341.2916362872813,322.3345879729577,0.12263329181332527,0.23470873989390273,0.0562283279378013,11.81544677142857,0.0593733149504192,0.1478779183057759,0.2633995745650697,1.0,454465201.0,39287049.9,0.42912720713091773,0.022909326637888392,0.019068614552155326,0.019895825101769214,-0.0,1,1,1,0,1,1,1,0,0.013103316855968217,1,0.0036325083378838663,1,-0.0020757870034783243,0,-0.0807,,1,0.0807,1.0,-0.1536,0.4511,Defense
2025-05-28,384.5578981,392.5892544,383.2110165,389.5463257,27549144,0.0,0,0.013103316855968217,0.01534271,0.017326825,0.005187811,BEL.NS,0.019451730212746376,0.13387545879419172,0.013018211039135745,99.82060425697644,23.087342964777292,19.66341800236791,3.4239249624093837,409.20158353353565,346.164439395,283.1272952564643,0.8440978085052552,0.36420346497004263,384.62770996,374.37649232,346.164439395,313.67610779,367.9629668430856,344.8756238783083,325.09726063104546,0.12532161414621212,0.24187439217013496,0.05865633447324181,11.85107626428571,0.019451730212746376,0.13387545879419172,0.23131504724304208,1.0,482014345.0,37770370.9,0.72938505351029,0.005187810874447987,0.018630709877726716,0.018817781808701552,-0.0,1,1,1,0,1,1,1,0,-0.009348314589943008,0,-0.014982779749011965,0,-0.007555473138428748,0,0.0156,0.1735,2,0.1227,1.0,-0.0807,-0.1536,Defense
2025-05-29,390.6437301,391.1924753,384.6576173,385.9047241,18562683,0.0,0,-0.009348314589943008,0.003632508,0.005850967,0.007950069,BEL.NS,0.008867996155686342,0.10388123170788899,-0.009392284325941932,95.16228766145389,22.80089701691918,20.29091382260143,2.5099831943177513,413.22927937822783,349.79102478,286.35277018177214,0.7846366088468082,0.3627208824933524,385.30613402000006,378.0080658,349.79102478,315.87041687199996,370.7232432437194,347.92234622680024,327.59198100119966,0.10324364195082936,0.22171847532141653,0.04095098198712077,11.12063015714285,0.008867996155686342,0.10388123170788899,0.23145486019580597,0.946045126472703,463451662.0,37455333.25,0.49559519003879104,0.007950069288823578,0.019773796383994863,0.01881147947432164,-5.395487352729696,1,1,1,0,1,1,1,0,-0.005687634959947285,0,0.0018097596540929128,1,-0.0020681949459452342,0,0.038,,1,0.038,1.0,0.0156,-0.0807,Defense
2025-06-03,386.6031261,390.8931615,384.6077552,385.1065979,18630318,0.0,0,-0.0038709491125111795,0.003640144,-0.002068195,0.009522,BEL.NS,0.00155680065655317,0.06102254802266893,-0.003878460626752559,86.76081663140553,20.816177588047083,20.84288607105408,-0.026708483006999018,418.9409996713677,360.82293243500004,302.7048651986324,0.7089166641264727,0.3221417599162008,386.1741211,384.65763855000006,360.82293243500004,322.219088138,376.43375354367777,355.6175759556307,334.36759243508646,0.06730078185752375,0.1951700320592631,0.02303949705539865,9.877084992857139,0.00155680065655317,0.06102254802266893,0.24315620789473646,0.8888882943658875,433619916.0,37969416.25,0.49066643209190763,0.0095220001735395,0.017607630356633926,0.017960139451749887,-11.111170563411255,1,1,1,0,1,0,1,0,0.011917104316119032,1,0.019430037139854583,1,0.012176233607967601,1,-0.2393,,1,0.2393,1.0,0.038,0.0156,Defense
2025-06-04,386.1042796,390.3943149,383.2109978,389.6959534,20648850,0.0,0,0.011917104316119032,0.008000025,0.015600628,0.009131498,BEL.NS,0.0003841075890809176,0.019843309359022898,0.011846654779135152,86.4130528088917,20.32760011007491,20.739828877692894,-0.41222876761798233,418.9269278686823,364.84609833,310.76526879131774,0.7297473548572853,0.2964583137176194,386.20404664,385.41587830000003,364.84609833,324.226431278,378.474094276872,358.1464941667971,336.62212927012484,0.0681105134020743,0.2019253083838337,0.029650270105194165,9.663293064285714,0.0003841075890809176,0.019843309359022898,0.260203189000082,1.0,454268766.0,38038140.4,0.5428459378629351,0.009131498091358024,0.0072767012131226055,0.017703121571691394,-0.0,1,1,1,0,1,0,1,0,0.007424454821141513,1,0.00025607758851320384,1,0.004736342740786714,1,0.0613,0.3217,2,0.2275,1.0,-0.2393,0.038,Defense
2025-06-05,392.7887827,393.7864681,388.5984915,392.5892334,20746844,0.0,0,0.007424454821141513,0.019430037,0.015483875,0.00776708,BEL.NS,0.017321657089297116,0.026343261633461568,0.007397029219549739,83.18386632559947,19.943549460439215,20.58057299280149,-0.6370235323622744,417.0124040196005,369.153605655,321.29480729039943,0.7448413723894762,0.25928934531024445,387.5409485,386.42354126,369.153605655,326.1509668,380.64565620766666,360.70210674722745,338.89920392196024,0.06348475915172913,0.2037040308414626,0.031377153522060386,8.498140685714285,0.017321657089297116,0.026343261633461568,0.281133021807082,1.0,475015610.0,38219932.75,0.5428278520453441,0.00776708021714474,0.007461859681930734,0.01705553593328815,-0.0,1,1,1,0,1,0,1,0,-0.007115548166736874,0,-0.0026683013971824376,0,0.00991102243508446,1,-0.1262,,1,0.1262,1.0,0.0613,-0.2393,Defense
2025-06-06,393.9361347,395.9315057,388.2992176,389.7957458,17366507,0.0,0,-0.007115548166736874,0.000256078,0.012176234,0.008201808,BEL.NS,0.01586070067279688,0.017978202342236793,-0.007140984413305946,78.5185380974478,19.19281071278482,20.303020534789507,-1.1102098220046877,414.20070373514505,372.88744507,331.57418640485497,0.7046352826709493,0.22158567799132814,388.75812988,387.11194763000003,372.88744507,328.04577148600004,382.0533634318638,362.86055271907895,340.9669378363097,0.0453442478515893,0.18823584902277957,0.020265185728477464,8.262970642857141,0.01586070067279688,0.017978202342236793,0.2369796755245992,0.9057249685746536,457649103.0,36876010.85,0.470943212123499,0.008201808183028946,0.008075291098939653,0.01717637023085442,-9.427503142534645,1,1,1,0,1,0,1,0,0.00447911815049884,1,0.0171485922358674,1,0.005630860068765564,1,0.4443,,1,0.4443,1.0,-0.1262,0.0613,Defense
2025-06-09,393.0880874,394.3850663,390.8931671,391.541687,13744521,0.0,0,0.00447911815049884,-0.002668301,0.004736343,0.007903709,BEL.NS,0.012774258298928531,0.02054356873064922,0.004469116754630782,79.26457910480664,18.524957225212006,19.94740787081515,-1.4224506456031456,410.7883783273701,376.36188660000005,341.93539487263,0.7204668503577378,0.18294356019082636,389.7458435,387.90012207,376.36188660000005,329.848589478,383.51310651346006,364.98814928824805,343.01870445205446,0.04033299050850281,0.1870345955386139,0.02093430537362395,7.699988614285713,0.012774258298928531,0.02054356873064922,0.21576840328872193,0.900002038054342,471393624.0,35566879.85,0.38644157311426347,0.007903708647293232,0.008119558191291941,0.017022516188701795,-9.9997961945658,1,1,1,0,1,0,1,0,0.01261297906192027,1,0.0011466061339209244,1,-0.012867927649297783,0,0.4601,,1,0.4601,1.0,0.4443,-0.1262,Defense
2025-06-13,378.7712862,396.8293994,378.6216394,393.2876282,35564550,0.0,0,0.01755294275944741,0.003308745,-0.008052271,0.014089465,BEL.NS,0.008958236300997457,0.02496102087832064,0.017400669177002354,59.659687991761665,15.41423954896402,17.9067943938259,-2.492554844861882,402.48613745724725,385.21634521500005,367.94655297275284,0.7336821101198627,0.08966282171961551,391.96069946,390.35941467000004,385.21634521500005,337.23864563,387.54852960690863,372.1342900579446,350.47254013180134,0.020952597378740778,0.1661997617897384,0.014808722404165753,7.806881857142855,0.008958236300997457,0.02496102087832064,0.08326468665365816,0.7500017932155844,499815738.0,30023574.35,1.1845541635185086,0.014089465390172187,0.01089061945350216,0.014294589142879165,-24.999820678441566,1,1,1,0,0,0,1,0,0.02447993353888056,1,0.019152729859505113,1,0.015981688589511656,1,-0.6934,,1,0.6934,1.0,0.4601,0.4443,Defense
