date,nifty_return,magnitude,direction,top_driver,top_contribution,top_impact_pct,all_impacts
2025-02-04,0.016189340804458663,0.016189340804458663,Up,NIFTYBANK,0.00673818927039016,41.62114660366167,"{'NIFTYBANK': {'contribution': 0.00673818927039016, 'impact_pct': 41.62114660366167, 'sector_return': 0.019251969343971886}, 'NIFTYENERGY': {'contribution': 0.0026825038691752475, 'impact_pct': 16.569568221310572, 'sector_return': 0.022354198909793732}, 'NIFTYIT': {'contribution': 0.0023224091174958647, 'impact_pct': 14.345297597640641, 'sector_return': 0.012902272874977028}, 'NIFTYDEFENSE': {'contribution': 0.000703264397505392, 'impact_pct': 4.343996497446689, 'sector_return': 0.023442146583513068}, 'NIFTYAUTO': {'contribution': 0.0005351309641188306, 'impact_pct': 3.3054524614828766, 'sector_return': 0.008918849401980511}, 'NIFTYFMCG': {'contribution': -0.00020181279720931755, 'impact_pct': 1.2465782248140507, 'sector_return': -0.0025226599651164694}}"
2025-02-11,-0.013249734834228644,0.013249734834228644,Down,NIFTYBANK,-0.0040447370000600055,30.52692790206678,"{'NIFTYBANK': {'contribution': -0.0040447370000600055, 'impact_pct': 30.52692790206678, 'sector_return': -0.011556391428742874}, 'NIFTYIT': {'contribution': -0.0026547924655869926, 'impact_pct': 20.03657053368907, 'sector_return': -0.014748847031038848}, 'NIFTYENERGY': {'contribution': -0.002515672736445773, 'impact_pct': 18.986589300994318, 'sector_return': -0.020963939470381443}, 'NIFTYFMCG': {'contribution': -0.001549347253250062, 'impact_pct': 11.693420831695157, 'sector_return': -0.019366840665625773}, 'NIFTYAUTO': {'contribution': -0.0013985847576976228, 'impact_pct': 10.55556790528815, 'sector_return': -0.02330974596162705}, 'NIFTYDEFENSE': {'contribution': -0.001050255818491901, 'impact_pct': 7.926617639009101, 'sector_return': -0.03500852728306336}}"
2025-02-28,-0.01864489100711675,0.01864489100711675,Down,NIFTYIT,-0.007525756387263081,40.36363840577294,"{'NIFTYIT': {'contribution': -0.007525756387263081, 'impact_pct': 40.36363840577294, 'sector_return': -0.041809757707017114}, 'NIFTYBANK': {'contribution': -0.0028656977913088743, 'impact_pct': 15.369882238598437, 'sector_return': -0.008187707975168212}, 'NIFTYENERGY': {'contribution': -0.002509259032755202, 'impact_pct': 13.458158762083505, 'sector_return': -0.020910491939626685}, 'NIFTYAUTO': {'contribution': -0.0023531369300245865, 'impact_pct': 12.620813546865975, 'sector_return': -0.039218948833743106}, 'NIFTYFMCG': {'contribution': -0.002099542504440004, 'impact_pct': 11.260685319311383, 'sector_return': -0.02624428130550005}, 'NIFTYDEFENSE': {'contribution': -0.0007498076320214309, 'impact_pct': 4.021517914667506, 'sector_return': -0.024993587734047695}}"
2025-03-18,0.014463264286110888,0.014463264286110888,Up,NIFTYBANK,0.006951264782857269,48.061520866576345,"{'NIFTYBANK': {'contribution': 0.006951264782857269, 'impact_pct': 48.061520866576345, 'sector_return': 0.01986075652244934}, 'NIFTYIT': {'contribution': 0.002401597246051157, 'impact_pct': 16.60480786731815, 'sector_return': 0.013342206922506428}, 'NIFTYENERGY': {'contribution': 0.0019154046964401682, 'impact_pct': 13.243239275379462, 'sector_return': 0.01596170580366807}, 'NIFTYAUTO': {'contribution': 0.0014284646704739146, 'impact_pct': 9.876502580718746, 'sector_return': 0.023807744507898576}, 'NIFTYFMCG': {'contribution': 0.0010845003636054606, 'impact_pct': 7.498309801660122, 'sector_return': 0.013556254545068258}, 'NIFTYDEFENSE': {'contribution': 0.0006453777950475147, 'impact_pct': 4.462186282990575, 'sector_return': 0.021512593168250493}}"
2025-04-01,-0.015036555006834651,0.015036555006834651,Down,NIFTYBANK,-0.005004814326037987,33.2843149495554,"{'NIFTYBANK': {'contribution': -0.005004814326037987, 'impact_pct': 33.2843149495554, 'sector_return': -0.014299469502965678}, 'NIFTYIT': {'contribution': -0.004418731691976534, 'impact_pct': 29.386596131680843, 'sector_return': -0.024548509399869634}, 'NIFTYENERGY': {'contribution': -0.001009603355216897, 'impact_pct': 6.714326218724944, 'sector_return': -0.008413361293474142}, 'NIFTYFMCG': {'contribution': -0.0007285714818864797, 'impact_pct': 4.845335128660241, 'sector_return': -0.009107143523580996}, 'NIFTYDEFENSE': {'contribution': -0.00027143058227372616, 'impact_pct': 1.805138092803513, 'sector_return': -0.009047686075790873}, 'NIFTYAUTO': {'contribution': -0.00016975417341691835, 'impact_pct': 1.1289432542211897, 'sector_return': -0.0028292362236153057}}"
2025-04-04,-0.014866602724289302,0.014866602724289302,Down,NIFTYIT,-0.006451977644951769,43.39913943089648,"{'NIFTYIT': {'contribution': -0.006451977644951769, 'impact_pct': 43.39913943089648, 'sector_return': -0.03584432024973205}, 'NIFTYENERGY': {'contribution': -0.004472851447267265, 'impact_pct': 30.08657411662347, 'sector_return': -0.037273762060560545}, 'NIFTYAUTO': {'contribution': -0.001618361368361363, 'impact_pct': 10.885885621449058, 'sector_return': -0.026972689472689382}, 'NIFTYDEFENSE': {'contribution': -0.0009428955999752475, 'impact_pct': 6.342374363947514, 'sector_return': -0.03142985333250825}, 'NIFTYBANK': {'contribution': -0.0006420387868757038, 'impact_pct': 4.318665123315162, 'sector_return': -0.0018343965339305823}, 'NIFTYFMCG': {'contribution': 3.560891523832765e-05, 'impact_pct': 0.23952288158039778, 'sector_return': 0.0004451114404790957}}"
2025-04-07,-0.03243256223135693,0.03243256223135693,Down,NIFTYBANK,-0.011162715741116484,34.41823578873451,"{'NIFTYBANK': {'contribution': -0.011162715741116484, 'impact_pct': 34.41823578873451, 'sector_return': -0.0318934735460471}, 'NIFTYIT': {'contribution': -0.004525862840704973, 'impact_pct': 13.954687910316292, 'sector_return': -0.02514368244836096}, 'NIFTYENERGY': {'contribution': -0.0033217472584953487, 'impact_pct': 10.242013057123707, 'sector_return': -0.027681227154127908}, 'NIFTYAUTO': {'contribution': -0.0022656077384955718, 'impact_pct': 6.985595903073927, 'sector_return': -0.0377601289749262}, 'NIFTYDEFENSE': {'contribution': -0.001381769681093211, 'impact_pct': 4.260439465856533, 'sector_return': -0.046058989369773706}, 'NIFTYFMCG': {'contribution': -0.0008761543134308081, 'impact_pct': 2.7014649881214488, 'sector_return': -0.010951928917885101}}"
2025-04-08,0.0168873186051548,0.0168873186051548,Up,NIFTYBANK,0.004569084297865466,27.05630422861074,"{'NIFTYBANK': {'contribution': 0.004569084297865466, 'impact_pct': 27.05630422861074, 'sector_return': 0.013054526565329905}, 'NIFTYIT': {'contribution': 0.003171466353217753, 'impact_pct': 18.780165326244706, 'sector_return': 0.017619257517876408}, 'NIFTYENERGY': {'contribution': 0.0017273524529238758, 'impact_pct': 10.228695823839121, 'sector_return': 0.014394603774365633}, 'NIFTYFMCG': {'contribution': 0.0015914006365377099, 'impact_pct': 9.42364311200915, 'sector_return': 0.019892507956721373}, 'NIFTYAUTO': {'contribution': 0.0009768086174746715, 'impact_pct': 5.784273041289715, 'sector_return': 0.01628014362457786}, 'NIFTYDEFENSE': {'contribution': 0.0007329080223037132, 'impact_pct': 4.339990494879367, 'sector_return': 0.024430267410123774}}"
2025-04-11,0.0191703703042303,0.0191703703042303,Up,NIFTYBANK,0.005309896566789662,27.698455911505963,"{'NIFTYBANK': {'contribution': 0.005309896566789662, 'impact_pct': 27.698455911505963, 'sector_return': 0.015171133047970464}, 'NIFTYENERGY': {'contribution': 0.003240221870499482, 'impact_pct': 16.902239336422557, 'sector_return': 0.02700184892082902}, 'NIFTYIT': {'contribution': 0.0012371856870255458, 'impact_pct': 6.453634788434617, 'sector_return': 0.006873253816808589}, 'NIFTYAUTO': {'contribution': 0.0012162121904232314, 'impact_pct': 6.344228990479393, 'sector_return': 0.020270203173720525}, 'NIFTYDEFENSE': {'contribution': 0.0008003865177372349, 'impact_pct': 4.175122885135999, 'sector_return': 0.026679550591241163}, 'NIFTYFMCG': {'contribution': 0.0006895534676262827, 'impact_pct': 3.596975210615102, 'sector_return': 0.008619418345328533}}"
2025-04-15,0.021902398531663314,0.021902398531663314,Up,NIFTYBANK,0.009450593943220242,43.148671272499875,"{'NIFTYBANK': {'contribution': 0.009450593943220242, 'impact_pct': 43.148671272499875, 'sector_return': 0.027001696980629264}, 'NIFTYIT': {'contribution': 0.0029382560318379136, 'impact_pct': 13.415224947122612, 'sector_return': 0.016323644621321742}, 'NIFTYENERGY': {'contribution': 0.0025748586132528927, 'impact_pct': 11.756057719114803, 'sector_return': 0.021457155110440773}, 'NIFTYAUTO': {'contribution': 0.0020367761385784488, 'impact_pct': 9.299329183668961, 'sector_return': 0.03394626897630748}, 'NIFTYDEFENSE': {'contribution': 0.0013067302630529443, 'impact_pct': 5.966151429323428, 'sector_return': 0.04355767543509814}, 'NIFTYFMCG': {'contribution': 0.0002236769636767022, 'impact_pct': 1.0212441498283507, 'sector_return': 0.0027959620459587775}}"
